ARID3A	ARNT	ATF2	ATF3	ATF4	ATF7	BACH1	BHLHE40	BRCA1	CBX5	CDC5L	CEBPB	CREB3L1	CTCF	CUX1	E2F1	E2F7	E2F8	E4F1	EGR1	ELF1	ELF4	ELK1	EP300	ESRRA	ETV6	EWSR1	FOXA1	FOXM1	GABPA	GATA1	GATA2	GMEB1	HES1	HMBOX1	IKZF1	IRF1	KLF16	MAFF	MAFK	MAX	MEF2A	MEIS2	MGA	MNT	MYBL2	MYC	NFE2	NFIC	NR2C2	NR2F1	NR2F2	NR2F6	NR3C1	NRF1	PKNOX1	POU5F1	REST	RFX1	RFX5	RUNX1	SP1	SREBF1	STAT1	STAT5A	TAL1	TBP	TCF12	TCF7	TCF7L2	TEAD4	THRA	YY1	ZBTB7A	ZNF143	ZNF282	ZNF384
DISC1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTPCR	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	2	0	1	1	1	0	1	0	0	0	2	0	1	0	1	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0
KCNK1	0	0	0	1	1	0	0	1	0	0	0	3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	6	0	1	1	1	0	0	2	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	1	0
SLC35F3	0	0	0	2	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMM20	0	1	1	0	2	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	2	0	0	0	0	1	0	0	1	0	1	2	0	0	0	1	2	0	2	2	1	1	2	0	3	0	0	2	0	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	0	0	1
RBM34	0	1	0	0	1	1	0	1	0	0	0	2	1	1	0	0	0	1	2	1	1	1	1	0	0	0	0	0	2	1	1	0	1	0	0	2	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	2	0	1	2	0	0	1	0	0	1	1	2	0	0	0	1	1	0	0	2	0	1	1	1	1	0
ARID4B	0	0	2	0	4	3	0	0	0	0	2	2	1	1	1	1	0	1	6	2	2	4	0	1	1	3	0	0	1	2	0	0	2	0	1	4	1	0	0	0	3	0	0	0	3	0	1	0	4	0	0	1	0	0	4	2	0	0	1	0	1	1	1	0	0	2	4	1	0	0	0	0	0	4	1	0	2
GGPS1	0	0	2	0	4	3	0	0	0	0	2	2	1	1	1	1	0	1	6	2	2	4	0	1	1	3	0	0	1	2	0	0	2	0	1	4	1	0	0	0	3	0	0	0	3	0	1	0	4	0	0	1	0	0	4	2	0	0	1	0	1	1	1	0	0	2	4	1	0	0	0	0	0	4	1	0	2
TBCE	1	0	0	0	0	1	2	1	0	0	2	0	1	0	1	1	0	0	2	0	2	1	1	2	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	4	0	2	2	3	0	2	1	1	0	2	0	0	0	1	3	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	2	0	0	2
B3GALNT2	0	0	5	2	2	2	1	2	0	0	0	1	2	3	0	2	0	1	2	2	2	3	2	2	0	0	0	0	0	1	0	0	2	1	2	1	1	0	0	1	4	0	1	6	4	0	4	3	2	0	0	1	0	3	1	1	2	0	1	0	1	1	0	0	0	1	2	0	2	0	3	0	0	2	2	0	3
GNG4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LYST	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NID1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR137B	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
EDARADD	0	0	0	0	2	2	0	0	0	0	0	2	0	2	0	0	1	4	2	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	2	0	0	3	0	0	3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1
LGALS8	0	1	3	3	2	3	0	2	0	0	0	2	0	1	0	2	0	0	3	1	2	2	0	3	4	2	0	1	0	0	1	0	5	0	0	3	2	1	1	1	3	0	1	1	2	0	4	1	0	0	1	2	0	0	0	2	0	1	0	0	0	2	0	0	1	1	2	1	2	0	2	0	1	1	0	0	0
HEATR1	0	0	0	0	0	2	0	1	1	0	0	2	0	1	0	2	1	1	2	0	1	1	0	1	1	1	0	0	2	1	0	0	2	0	0	3	1	1	0	0	2	0	1	1	2	0	1	0	1	0	1	3	1	0	1	2	1	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	1	2	0	2
ACTN2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
MTR	0	0	0	0	0	2	0	1	0	1	0	1	2	0	1	2	2	2	2	2	1	1	1	1	1	0	0	0	1	1	0	0	4	0	2	1	1	0	1	0	1	0	1	2	2	0	1	1	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	3	2	1	0	0	0	1	0	1	0	1	0	1
CHRM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GREM2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FH	1	1	0	1	1	2	1	0	0	0	0	2	1	0	1	1	2	0	2	2	0	1	0	1	1	0	0	0	2	0	0	0	1	0	1	1	1	0	2	1	1	1	2	1	2	0	2	2	1	0	1	1	0	0	2	1	0	0	0	0	0	1	0	0	1	2	2	2	0	1	3	0	0	0	1	1	1
KMO	2	3	0	1	0	0	0	0	0	0	0	2	0	1	1	1	2	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	1	0	0	2	0	0	1	1	2	1	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	1	1	2	1	0	0	3	0	0	0	1	0	2
OPN3	0	0	0	1	0	0	0	1	0	0	0	2	0	1	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	1	0	2	1	0	1	0	4	0	1	2	0	0	2	1	0	0	2	2	2	0	2	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0
EXO1	0	1	1	1	1	2	0	1	0	0	0	1	2	1	1	1	1	1	3	0	1	2	0	2	1	0	0	0	0	2	0	1	1	1	0	1	1	0	0	1	3	0	2	2	2	1	3	0	2	0	1	1	2	1	2	1	0	0	0	0	1	2	0	0	1	0	1	0	0	0	2	0	1	1	1	0	1
MAP1LC3C	0	0	0	2	0	1	0	2	0	1	0	0	1	2	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	1	0	1	2	0	1	1	2	0	1	1	2	0	0	1	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2
PLD5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP170	1	4	0	0	0	3	0	3	0	0	0	1	4	0	0	3	0	0	2	4	0	5	0	5	1	3	0	0	0	2	0	0	5	1	3	3	1	2	2	1	4	0	3	3	4	0	3	2	3	0	1	3	1	1	1	4	1	0	1	0	1	2	1	0	4	4	2	1	0	0	5	0	3	4	2	2	0
SDCCAG8	1	4	0	0	0	3	0	3	0	0	0	1	4	0	0	3	0	0	2	4	0	5	0	5	1	3	0	0	0	2	0	0	5	1	3	3	1	2	2	1	4	0	3	3	4	0	3	2	3	0	1	3	1	1	1	4	1	0	1	0	1	2	1	0	4	4	2	1	0	0	5	0	3	4	2	2	0
AKT3	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ZBTB18	0	0	1	2	1	2	0	2	0	0	0	1	0	0	0	2	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	2	0	2	1	1	0	2	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0
ADSS	1	1	1	0	0	1	0	1	0	1	1	1	3	2	1	3	0	1	4	3	1	2	0	1	0	0	0	0	0	2	2	0	3	2	3	2	2	0	1	1	5	0	5	4	3	0	3	0	2	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	2	0	2	2	0	0	1	0	2	1	1	0	1
C1orf101	1	1	0	0	0	1	0	1	0	1	0	0	3	2	0	2	0	1	2	3	1	2	0	1	0	0	0	0	0	2	1	0	2	2	1	2	2	0	0	1	3	0	3	3	1	0	2	0	2	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	2	2	0	0	1	0	1	1	1	0	1
COX20	1	2	1	1	2	2	1	1	0	0	1	1	2	2	2	1	1	1	2	3	1	2	1	2	1	0	1	0	1	2	0	0	1	0	0	6	0	1	3	3	6	0	1	1	4	1	4	2	1	0	0	0	0	1	2	0	0	2	0	0	0	1	0	1	0	2	5	1	0	0	4	0	3	2	1	1	4
HNRNPU	0	2	1	0	1	4	0	1	0	0	0	1	0	1	0	1	0	1	1	2	0	2	1	2	1	0	0	0	0	3	0	0	3	2	2	1	2	0	0	1	4	0	2	0	2	0	2	1	3	0	0	1	0	1	1	1	1	2	0	1	0	1	0	2	0	3	3	0	1	0	4	0	2	3	1	1	0
EFCAB2	0	1	1	2	2	3	1	1	0	0	0	3	2	1	0	1	1	2	3	2	0	1	1	2	3	0	0	0	0	2	0	0	4	1	0	3	2	2	1	1	6	0	1	3	3	0	2	1	3	0	5	1	0	0	4	1	0	1	2	0	0	2	0	0	0	2	3	1	1	0	3	0	3	2	0	2	2
KIF26B	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
SMYD3	1	0	1	0	0	2	0	2	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	2	0	1	3	0	0	1	0	2	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0
TFB2M	1	0	2	3	2	3	3	1	0	0	0	5	5	1	0	2	0	1	5	0	3	2	0	4	1	0	0	0	1	1	0	0	2	0	1	0	0	0	0	1	7	0	3	4	5	0	5	1	2	0	5	3	2	0	2	5	1	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	1	2	1	1	1
CNST	1	0	2	3	2	3	3	1	0	0	0	5	5	1	0	2	0	1	5	0	3	2	0	4	1	0	0	0	2	1	0	0	2	0	1	0	0	0	0	1	7	0	3	4	5	0	5	1	2	0	5	3	2	0	2	5	1	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	1	2	1	1	1
SCCPDH	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	3	2	0	1	1	2	0	1	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1
AHCTF1	0	0	1	0	1	2	0	1	0	1	0	2	2	0	0	2	0	1	2	0	1	1	1	0	2	0	0	0	3	1	1	0	2	0	0	1	1	0	0	0	2	0	1	1	2	0	2	0	1	0	0	1	1	0	1	1	2	1	0	0	0	1	0	0	0	1	2	1	0	0	2	0	0	1	1	1	1
ZNF695	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZNF670	0	0	0	0	1	2	0	1	0	0	0	2	1	1	0	2	0	2	2	2	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	2	0	0	0	0	2	0	2	0	1	0	1	1	0	0	1	1	0	1	1	2	0	1	0	0	0	1	0	0	0	1	1	1	0	0	2	0	1	1	0	1	0
ZNF669	1	1	1	1	0	3	0	3	0	1	0	2	2	0	1	1	0	1	1	3	2	1	1	2	2	0	0	0	2	3	2	2	4	2	1	1	1	1	1	0	4	1	2	4	2	0	2	1	4	0	2	2	2	0	5	3	0	2	1	0	0	1	0	0	1	2	1	1	1	0	2	0	0	5	0	4	0
ZNF496	1	0	1	1	2	2	0	2	0	1	0	1	3	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	3	0	0	1	0	1	3	1	1	0	0	5	0	2	1	1	0	2	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	3	0	1	2	1	1	0
NLRP3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCSAML	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM58	1	3	0	2	0	2	2	2	0	1	0	2	2	2	0	0	0	0	4	3	1	1	0	3	0	0	0	0	2	2	1	1	3	1	1	3	1	1	3	3	6	0	3	2	2	0	1	3	3	0	3	1	1	1	3	3	0	1	0	0	2	0	1	2	1	1	3	2	0	0	2	0	3	3	0	0	0
OR2L13	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0
ZNF672	1	1	3	1	1	3	0	3	0	0	0	1	2	2	2	3	0	2	5	1	2	3	0	2	4	1	0	0	2	1	2	0	2	4	2	3	3	0	2	1	4	0	3	5	2	0	3	1	3	0	2	2	3	0	3	2	0	2	0	2	0	1	1	0	1	1	2	2	0	0	1	0	0	3	2	1	0
ZNF692	0	2	1	0	1	4	0	1	0	1	2	1	2	2	0	0	0	0	2	1	1	1	0	0	2	0	0	0	1	2	0	0	2	2	0	1	0	0	0	0	5	0	1	5	4	0	3	0	2	0	2	1	0	0	2	2	0	1	1	1	0	0	0	1	0	0	3	0	1	0	1	0	0	2	2	0	1
PGBD2	0	0	1	1	0	3	0	2	0	1	0	1	1	1	0	2	1	1	2	1	0	1	1	2	1	0	0	0	0	2	0	0	1	0	0	2	2	1	0	0	4	0	4	3	2	0	2	1	1	0	0	1	0	0	1	1	0	2	0	1	0	2	3	0	0	2	1	3	1	0	2	0	1	3	1	1	1
ZMYND11	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
PRR26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIP2C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LARP4B	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	2	0	1	1	1	0	1	1	4	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
GTPBP4	0	0	2	1	0	2	0	1	0	2	0	0	2	1	0	2	0	1	2	1	2	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	1	3	0	2	1	2	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	2	0	0
IDI1	0	0	0	1	0	3	0	3	0	0	0	0	4	0	0	3	1	2	3	2	2	2	2	0	1	0	0	0	0	2	0	0	4	0	0	2	2	0	0	0	5	0	4	2	5	0	3	0	1	0	2	1	0	0	5	3	0	1	0	1	0	1	1	1	1	3	2	1	1	0	1	0	1	2	0	1	0
WDR37	0	0	0	1	0	3	0	3	0	0	0	0	4	0	0	3	1	2	3	2	2	2	2	0	1	0	0	0	0	2	0	0	4	0	0	2	2	0	0	0	5	0	4	2	5	0	3	0	1	0	2	1	0	0	5	3	0	1	0	1	0	1	1	1	1	3	2	1	1	0	1	0	1	2	0	1	0
ADARB2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFKP	0	0	0	1	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	1	1	0	1	3	0	0	0	0	1	0	0	2	0	1	3	0	0	0	0	6	0	0	3	3	0	4	0	1	0	1	1	1	0	4	2	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	3	0	1	0
PITRM1	0	0	1	0	0	1	0	1	0	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	2	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	2	0	0	1
KLF6	1	1	2	4	2	4	0	4	0	0	1	2	0	1	2	1	1	2	5	4	0	2	0	0	2	0	0	0	2	0	0	0	2	1	0	5	1	2	1	1	6	1	1	1	4	1	3	2	4	0	1	0	1	0	0	1	0	4	4	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0	0	2
AKR1E2	1	0	0	1	1	0	0	3	0	0	0	1	1	1	0	1	0	0	1	2	0	2	0	2	0	0	0	0	2	0	1	0	1	3	1	2	1	2	1	1	2	0	2	2	1	0	1	1	2	0	0	2	1	0	3	2	0	1	4	0	0	1	0	0	2	3	1	3	1	0	3	0	0	1	0	0	1
AKR1C1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0
AKR1C2	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	3	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
TUBAL3	0	2	0	0	0	2	0	1	0	0	0	0	1	0	0	2	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	3	0	1	2	0	0	2	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1
NET1	0	2	0	0	0	2	0	1	0	0	0	0	1	0	0	2	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	3	0	1	2	0	0	2	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1
CALML5	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CALML3	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ASB13	0	0	0	2	1	0	0	2	0	0	0	3	2	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	4	0	0	0	1	0	1	0	1	0	1	2	1	0	0	1	0	2	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0
FAM208B	0	2	0	4	1	2	0	2	0	1	0	0	2	1	0	4	0	1	1	3	1	1	0	0	3	0	0	0	1	1	0	0	3	0	0	3	1	1	1	1	5	0	2	3	4	0	3	2	1	0	5	1	1	0	5	2	0	2	0	0	0	2	1	0	0	1	4	0	0	0	3	0	0	3	0	1	0
GDI2	0	1	0	1	0	2	0	1	0	0	0	1	2	2	0	0	0	1	2	1	1	1	1	0	2	0	0	0	0	2	0	0	1	1	2	1	1	0	1	1	2	0	1	2	3	0	1	1	2	0	1	0	0	0	2	2	0	0	0	1	0	2	0	0	0	2	2	0	0	0	0	0	1	2	1	2	2
FBXO18	2	0	0	0	0	2	0	3	0	0	0	2	2	2	0	1	0	1	4	3	1	3	1	2	1	0	0	0	1	1	0	0	2	0	3	4	1	0	0	0	3	0	3	3	2	0	3	1	2	0	2	1	0	0	5	5	0	0	1	1	1	1	0	0	1	2	4	2	0	0	2	0	0	1	1	0	1
ANKRD16	2	0	0	0	0	2	0	3	0	0	0	2	2	2	0	1	0	1	4	3	1	3	1	2	1	0	0	0	1	1	0	0	2	0	3	4	1	0	0	0	3	0	3	3	2	0	3	1	2	0	2	1	0	0	5	5	0	0	1	1	1	1	0	0	1	2	4	2	0	0	2	0	0	1	1	0	1
IL15RA	1	0	2	3	1	2	0	1	0	0	0	2	0	2	1	3	0	0	2	0	0	0	0	1	0	0	0	0	2	1	1	0	3	0	2	3	0	0	0	1	8	0	1	5	2	0	1	2	4	0	3	4	2	0	2	2	0	2	1	0	0	2	0	2	3	2	1	2	0	0	2	0	0	4	0	1	0
IL2RA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM17	0	1	1	0	1	3	0	2	0	1	0	2	2	2	0	0	0	0	1	2	0	0	0	1	3	0	0	0	1	0	0	0	1	0	1	2	0	2	0	0	3	0	2	0	0	0	2	0	0	0	1	0	0	0	3	1	2	2	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	2	0	1
PFKFB3	0	1	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	1	1	0	3	0	0	0	0	0	0	1	1	0	1	3	0	0	0	0	5	0	3	2	3	0	2	1	2	0	0	0	0	0	1	2	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	1	2	0
PRKCQ	0	1	2	2	0	2	0	0	0	0	0	0	2	2	0	1	0	0	0	2	0	2	0	3	1	2	0	0	0	1	0	0	0	0	0	3	0	0	1	1	3	0	1	0	1	0	2	2	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	2
SFMBT2	1	0	0	1	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	4	0	2	3	2	0	3	0	0	0	0	0	0	0	3	3	0	2	0	0	0	0	0	0	0	1	1	1	0	0	2	0	2	3	0	1	1
ITIH5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
