gs_id	entrez
EWSR1	7408
EWSR1	208
EWSR1	27113
EWSR1	27202
EWSR1	26093
EWSR1	90353
EWSR1	30846
EWSR1	2014
EWSR1	29998
EWSR1	29997
EWSR1	11133
EWSR1	3978
EWSR1	4294
EWSR1	4213
EWSR1	8775
EWSR1	284352
EWSR1	10567
EWSR1	6415
EWSR1	27036
EWSR1	6689
EWSR1	65057
EWSR1	50855
EWSR1	388284
EWSR1	84080
EWSR1	80152
EWSR1	10204
EWSR1	54920
EWSR1	23644
EWSR1	81577
EWSR1	5681
EWSR1	57610
EWSR1	55815
EWSR1	6645
EWSR1	342371
EWSR1	999
EWSR1	64174
EWSR1	4775
EWSR1	123904
EWSR1	23659
EWSR1	54496
EWSR1	84138
EWSR1	5699
EWSR1	3931
EWSR1	6560
EWSR1	9057
EWSR1	57215
EWSR1	124491
EWSR1	79583
EWSR1	9049
EWSR1	23529
EWSR1	57175
EWSR1	57010
EWSR1	2950
EWSR1	22992
EWSR1	5138
EWSR1	5883
EWSR1	6199
EWSR1	80194
EWSR1	338692
EWSR1	10263
EWSR1	9600
EWSR1	3619
EWSR1	4728
EWSR1	254552
EWSR1	26073
EWSR1	5499
EWSR1	5790
EWSR1	5866
EWSR1	54961
EWSR1	374403
EWSR1	10312
EWSR1	81622
EWSR1	221
EWSR1	215
EWSR1	9578
EWSR1	1983
EWSR1	4140
EWSR1	7187
EWSR1	7443
EWSR1	207
EWSR1	100128927
EWSR1	122616
EWSR1	55038
EWSR1	283638
EWSR1	29933
EWSR1	3714
EWSR1	256281
EWSR1	122618
Other	2
Other	8086
Other	65985
Other	51166
Other	195827
Other	79719
Other	22848
Other	28971
Other	14
Other	25980
Other	16
Other	57505
Other	80755
Other	132949
Other	60496
Other	10157
Other	26574
Other	9625
Other	18
Other	19
Other	26154
Other	154664
Other	20
Other	21
Other	23461
Other	23460
Other	10347
Other	10351
Other	23456
Other	5244
Other	22
Other	23457
Other	4363
Other	89845
Other	8714
Other	10257
Other	10057
Other	225
Other	5825
Other	5826
Other	6059
Other	23
Other	55324
Other	9619
Other	9429
Other	84696
Other	55347
Other	83451
Other	26090
Other	84945
Other	25864
Other	84836
Other	116236
Other	7920
Other	81926
Other	51104
Other	58489
Other	11057
Other	171586
Other	63874
Other	51099
Other	57406
Other	79575
Other	10006
Other	10152
Other	51225
Other	25890
Other	25
Other	27
Other	3983
Other	22885
Other	29
Other	58527
Other	29777
Other	80325
Other	25841
Other	30
Other	10449
Other	31
Other	80724
Other	84129
Other	27034
Other	28976
Other	34
Other	35
Other	37
Other	9744
Other	23527
Other	116983
Other	38
Other	39
Other	64746
Other	79777
Other	91452
Other	84320
Other	414149
Other	84680
Other	1636
Other	340485
Other	55331
Other	43
Other	22985
Other	47
Other	48
Other	50
Other	26027
Other	55856
Other	10965
Other	122970
Other	11332
Other	10005
Other	23597
Other	51
Other	8310
Other	55289
Other	52
Other	53
Other	54
Other	51205
Other	92370
Other	55
Other	23205
Other	80221
Other	2180
Other	2181
Other	2182
Other	51703
Other	23305
Other	6296
Other	84532
Other	55902
Other	59
Other	60
Other	71
Other	86
Other	87
Other	88
Other	81
Other	55860
Other	10121
Other	10120
Other	10097
Other	10096
Other	57180
Other	653857
Other	79913
Other	84517
Other	90
Other	91
Other	130399
Other	92
Other	93
Other	94
Other	95
Other	97
Other	98
Other	100
Other	161823
Other	102
Other	8751
Other	6868
Other	8728
Other	53616
Other	10863
Other	203102
Other	8754
Other	9510
Other	81794
Other	140766
Other	170691
Other	171019
Other	9508
Other	9507
Other	11096
Other	11174
Other	56999
Other	9719
Other	54507
Other	339366
Other	11033
Other	55803
Other	103
Other	104
Other	23536
Other	134637
Other	113179
Other	113451
Other	57143
Other	90956
Other	56997
Other	79934
Other	203054
Other	107
Other	109
Other	196883
Other	112
Other	113
Other	115
Other	116
Other	118
Other	119
Other	120
Other	79747
Other	128
Other	137872
Other	55256
Other	51094
Other	79602
Other	10974
Other	132
Other	133
Other	79924
Other	23394
Other	22850
Other	84890
Other	135
Other	136
Other	140
Other	83440
Other	141
Other	113622
Other	54936
Other	56985
Other	150
Other	153
Other	154
Other	155
Other	156
Other	157
Other	11047
Other	159
Other	84830
Other	165
Other	121536
Other	166
Other	134265
Other	84632
Other	4299
Other	2334
Other	3899
Other	27125
Other	10939
Other	125061
Other	174
Other	54812
Other	175
Other	116987
Other	116986
Other	79841
Other	340351
Other	60509
Other	3267
Other	3268
Other	55109
Other	55750
Other	178
Other	79814
Other	26523
Other	27161
Other	192669
Other	192670
Other	10554
Other	10555
Other	56894
Other	56895
Other	55326
Other	137964
Other	79888
Other	8540
Other	375790
Other	183
Other	23287
Other	57085
