Group.1	x.active	x.nucleous	x.other
HIM_324	  0.000000	  0.000000	100.000000
HIM_325	  0.000000	  0.000000	100.000000
HIM_326	  0.000000	  0.000000	100.000000
HIM_327	  0.000000	  0.000000	100.000000
HIM_328	  0.000000	  0.000000	100.000000
HIM_329	  0.000000	  0.000000	100.000000
HIM_33	  0.000000	  0.000000	100.000000
HIM_330	  0.000000	  0.000000	100.000000
HIM_331	  0.000000	  0.000000	100.000000
HIM_332	  0.000000	  0.000000	100.000000
HIM_333	  0.000000	  0.000000	100.000000
HIM_334	  0.000000	  0.000000	100.000000
HIM_335	  0.000000	  0.000000	100.000000
HIM_336	  0.000000	  0.000000	100.000000
HIM_337	  0.000000	  0.000000	100.000000
HIM_338	  0.000000	  0.000000	100.000000
HIM_339	  0.000000	  0.000000	100.000000
HIM_34	  0.000000	 25.000000	 75.000000
HIM_340	  0.000000	  0.000000	100.000000
HIM_341	  0.000000	  0.000000	100.000000
HIM_342	  0.000000	  0.000000	100.000000
HIM_343	  0.000000	  0.000000	100.000000
HIM_344	  0.000000	  0.000000	100.000000
HIM_345	  0.000000	  0.000000	100.000000
HIM_346	  0.000000	  0.000000	100.000000
HIM_347	  0.000000	  0.000000	100.000000
HIM_348	  0.000000	  0.000000	100.000000
HIM_349	  0.000000	  0.000000	100.000000
HIM_35	  0.000000	  0.000000	100.000000
HIM_350	  0.000000	  0.000000	100.000000
HIM_351	  0.000000	  0.000000	100.000000
HIM_352	  0.000000	  0.000000	100.000000
HIM_353	  0.000000	  0.000000	100.000000
HIM_354	  0.000000	  0.000000	100.000000
HIM_355	  0.000000	  0.000000	100.000000
HIM_356	  0.000000	  0.000000	100.000000
HIM_357	  0.000000	  0.000000	100.000000
HIM_358	  0.000000	  8.333333	 91.666667
HIM_359	  0.000000	  0.000000	100.000000
HIM_36	  0.000000	  0.000000	100.000000
HIM_360	 22.222222	  0.000000	 77.777778
HIM_361	  0.000000	 41.666667	 58.333333
HIM_362	 21.428571	  0.000000	 78.571429
HIM_363	  0.000000	  0.000000	100.000000
HIM_364	  0.000000	  0.000000	100.000000
HIM_365	  0.000000	  0.000000	100.000000
HIM_366	  0.000000	  0.000000	100.000000
HIM_367	  0.000000	  0.000000	100.000000
HIM_368	  0.000000	  0.000000	100.000000
HIM_369	  0.000000	  0.000000	100.000000
HIM_37	  0.000000	  0.000000	100.000000
HIM_370	  0.000000	  0.000000	100.000000
HIM_371	  0.000000	  0.000000	100.000000
HIM_372	  0.000000	  0.000000	100.000000
HIM_373	  0.000000	 62.500000	 37.500000
HIM_374	  0.000000	 10.000000	 90.000000
HIM_375	  0.000000	  0.000000	100.000000
HIM_376	  0.000000	  0.000000	100.000000
HIM_377	  0.000000	  0.000000	100.000000
HIM_378	  0.000000	  0.000000	100.000000
HIM_379	  0.000000	  0.000000	100.000000
HIM_38	  0.000000	  0.000000	100.000000
HIM_380	  0.000000	  0.000000	100.000000
HIM_381	  0.000000	  0.000000	100.000000
HIM_382	  0.000000	  0.000000	100.000000
HIM_383	  0.000000	  0.000000	100.000000
HIM_384	 92.207792	  0.000000	  7.792208
HIM_385	 20.000000	  0.000000	 80.000000
HIM_386	 48.387097	  0.000000	 51.612903
HIM_387	  0.000000	  0.000000	100.000000
HIM_388	  0.000000	 71.428571	 28.571429
HIM_389	 94.117647	  0.000000	  5.882353
HIM_39	  0.000000	  0.000000	100.000000
HIM_390	 48.275862	  0.000000	 51.724138
HIM_391	  0.000000	  0.000000	100.000000
HIM_392	 17.647059	 70.588235	 11.764706
HIM_393	  0.000000	  0.000000	100.000000
HIM_394	  0.000000	  0.000000	100.000000
HIM_395	  0.000000	 16.666667	 83.333333
HIM_396	  0.000000	  0.000000	100.000000
HIM_397	  0.000000	  0.000000	100.000000
HIM_398	  0.000000	  0.000000	100.000000
HIM_399	  0.000000	  0.000000	100.000000
HIM_4	  0.000000	  0.000000	100.000000
HIM_40	  0.000000	  0.000000	100.000000
HIM_400	  0.000000	  0.000000	100.000000
HIM_401	  0.000000	  0.000000	100.000000
HIM_402	  0.000000	  0.000000	100.000000
HIM_403	  0.000000	 18.181818	 81.818182
HIM_404	  0.000000	 60.000000	 40.000000
HIM_405	  0.000000	  0.000000	100.000000
HIM_406	  0.000000	  0.000000	100.000000
HIM_407	  0.000000	  0.000000	100.000000
HIM_408	  0.000000	  0.000000	100.000000
HIM_409	  0.000000	  0.000000	100.000000
HIM_41	  0.000000	  0.000000	100.000000
HIM_410	  0.000000	  0.000000	100.000000
HIM_411	  0.000000	  0.000000	100.000000
HIM_412	  0.000000	  0.000000	100.000000
HIM_413	  0.000000	  0.000000	100.000000
HIM_414	  0.000000	  0.000000	100.000000
HIM_415	  0.000000	  0.000000	100.000000
HIM_416	  0.000000	 22.222222	 77.777778
HIM_417	  0.000000	  0.000000	100.000000
HIM_418	  0.000000	  0.000000	100.000000
HIM_419	  0.000000	  0.000000	100.000000
HIM_42	  0.000000	  0.000000	100.000000
HIM_420	  0.000000	  3.030303	 96.969697
HIM_421	  0.000000	  0.000000	100.000000
HIM_422	  0.000000	  0.000000	100.000000
HIM_423	  0.000000	  0.000000	100.000000
HIM_424	  0.000000	 54.901961	 45.098039
HIM_425	  0.000000	  0.000000	100.000000
HIM_426	  0.000000	  0.000000	100.000000
HIM_427	  0.000000	  0.000000	100.000000
HIM_428	  0.000000	  0.000000	100.000000
HIM_429	  0.000000	  0.000000	100.000000
HIM_43	  0.000000	100.000000	  0.000000
HIM_430	  0.000000	  0.000000	100.000000
HIM_431	  0.000000	  0.000000	100.000000
HIM_432	  0.000000	  0.000000	100.000000
HIM_433	  0.000000	  0.000000	100.000000
HIM_434	  0.000000	  0.000000	100.000000
HIM_435	  0.000000	  0.000000	100.000000
HIM_436	  0.000000	  0.000000	100.000000
HIM_437	  0.000000	  0.000000	100.000000
HIM_438	  0.000000	  0.000000	100.000000
HIM_439	  0.000000	  0.000000	100.000000
HIM_44	  0.000000	  0.000000	100.000000
HIM_440	 33.333333	  0.000000	 66.666667
HIM_441	 12.500000	  0.000000	 87.500000
HIM_442	  0.000000	  0.000000	100.000000
HIM_443	  0.000000	  0.000000	100.000000
HIM_444	  0.000000	  0.000000	100.000000
HIM_445	  0.000000	100.000000	  0.000000
HIM_446	  0.000000	100.000000	  0.000000
HIM_447	  0.000000	 83.333333	 16.666667
HIM_448	  0.000000	  0.000000	100.000000
HIM_449	  0.000000	  0.000000	100.000000
HIM_45	  0.000000	 30.000000	 70.000000
HIM_450	  0.000000	  0.000000	100.000000
HIM_451	  0.000000	  0.000000	100.000000
HIM_452	  0.000000	 14.285714	 85.714286
HIM_453	  0.000000	 25.000000	 75.000000
HIM_454	  0.000000	  0.000000	100.000000
HIM_455	  0.000000	  0.000000	100.000000
HIM_456	  0.000000	  0.000000	100.000000
HIM_457	  0.000000	  0.000000	100.000000
HIM_458	  0.000000	  0.000000	100.000000
HIM_459	  0.000000	  0.000000	100.000000
HIM_46	  0.000000	  0.000000	100.000000
HIM_460	  0.000000	  0.000000	100.000000
HIM_461	  0.000000	  0.000000	100.000000
HIM_462	  0.000000	  0.000000	100.000000
HIM_463	  0.000000	  0.000000	100.000000
HIM_464	  0.000000	  1.923077	 98.076923
HIM_465	  0.000000	  0.000000	100.000000
HIM_466	  0.000000	  0.000000	100.000000
HIM_467	  0.000000	  3.125000	 96.875000
HIM_468	 37.500000	  0.000000	 62.500000
HIM_469	  0.000000	  0.000000	100.000000
HIM_47	  0.000000	  0.000000	100.000000
HIM_470	  0.000000	  0.000000	100.000000
HIM_471	  0.000000	  0.000000	100.000000
HIM_472	  0.000000	  0.000000	100.000000
HIM_473	  0.000000	 18.181818	 81.818182
HIM_474	  0.000000	  0.000000	100.000000
HIM_475	  0.000000	  0.000000	100.000000
HIM_476	  0.000000	  0.000000	100.000000
HIM_477	  0.000000	  0.000000	100.000000
HIM_478	  0.000000	  0.000000	100.000000
HIM_479	 93.750000	  0.000000	  6.250000
HIM_48	  0.000000	  0.000000	100.000000
HIM_480	  0.000000	  0.000000	100.000000
HIM_481	 56.000000	  0.000000	 44.000000
